,채널명,조회수
2021-01,,
2021-02,트럭커 디젤집시의 Vlog,"1,523,587"
2021-03,군복남자,"1,495,164"
2021-04,군복남자,"1,689,721"
2021-05,권마키,"2,215,444"
2021-06,빠꾸왕간디,"1,117,346"
2021-07,권마키,"4,250,374"
2021-08,빠꾸왕간디,"5,235,450"
2021-09,권마키,"1,456,030"
2021-10,권마키,"2,777,722"
2021-11,권마키,"4,398,510"
2021-12,권마키,"2,250,966"
2022-01,권마키,"3,171,907"
2022-02,권마키,"2,509,361"
2022-03,권마키,"3,647,274"
2022-04,권마키,"2,431,285"
2022-05,권마키,"2,482,193"
2022-06,륭TV Amazing Technology,"5,879,498"
