연도,유가
12,715.8375380092592
13,716.1196787526577
14,635.9358332889219
15,361.83004620698824
16,315.390771810016
17,376.2627443342108
18,475.86620573842066
19,451.2882133653255
20,307.3881371631372
21,501.49666738166735
22,799.8333504349157
