"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2020","대구","관리단체 또는 축산관련 기관",1
"2020","대구","야생동물 구조센터",-
"2020","인천","계",4
"2020","인천","동물병원",3
"2020","인천","관리단체 또는 축산관련 기관",-
"2020","인천","야생동물 구조센터",1
"2020","광주","계",3
"2020","광주","동물병원",2
"2020","광주","관리단체 또는 축산관련 기관",-
"2020","광주","야생동물 구조센터",1
"2020","대전","계",6
"2020","대전","동물병원",5
"2020","대전","관리단체 또는 축산관련 기관",-
"2020","대전","야생동물 구조센터",1
"2020","울산","계",5
"2020","울산","동물병원",4
"2020","울산","관리단체 또는 축산관련 기관",-
"2020","울산","야생동물 구조센터",1
"2020","세종","계",-
"2020","세종","동물병원",-
"2020","세종","관리단체 또는 축산관련 기관",-
"2020","세종","야생동물 구조센터",-
"2020","경기","계",14
"2020","경기","동물병원",13
"2020","경기","관리단체 또는 축산관련 기관",-
"2020","경기","야생동물 구조센터",1
"2020","강원","계",19
"2020","강원","동물병원",11
"2020","강원","관리단체 또는 축산관련 기관",7
"2020","강원","야생동물 구조센터",1
"2020","충북","계",7
"2020","충북","동물병원",4
"2020","충북","관리단체 또는 축산관련 기관",2
"2020","충북","야생동물 구조센터",1
"2020","충남","계",16
"2020","충남","동물병원",13
"2020","충남","관리단체 또는 축산관련 기관",2
"2020","충남","야생동물 구조센터",1
"2020","전북","계",19
"2020","전북","동물병원",15
"2020","전북","관리단체 또는 축산관련 기관",3
"2020","전북","야생동물 구조센터",1
"2020","전남","계",17
"2020","전남","동물병원",15
"2020","전남","관리단체 또는 축산관련 기관",1
"2020","전남","야생동물 구조센터",1
"2020","경북","계",25
"2020","경북","동물병원",23
"2020","경북","관리단체 또는 축산관련 기관",1
"2020","경북","야생동물 구조센터",1
"2020","경남","계",21
"2020","경남","동물병원",18
"2020","경남","관리단체 또는 축산관련 기관",2
"2020","경남","야생동물 구조센터",1
"2020","제주","계",4
"2020","제주","동물병원",3
"2020","제주","관리단체 또는 축산관련 기관",-
"2020","제주","야생동물 구조센터",1
"2021","전국","계",208
"2021","전국","동물병원",172
"2021","전국","관리단체 또는 축산관련 기관",21
"2021","전국","야생동물 구조센터",15
"2021","서울","계",19
"2021","서울","동물병원",17
"2021","서울","관리단체 또는 축산관련 기관",2
"2021","서울","야생동물 구조센터",-
"2021","부산","계",14
"2021","부산","동물병원",13
"2021","부산","관리단체 또는 축산관련 기관",-
"2021","부산","야생동물 구조센터",1
"2021","대구","계",11
"2021","대구","동물병원",10
"2021","대구","관리단체 또는 축산관련 기관",1
"2021","대구","야생동물 구조센터",-
"2021","인천","계",4
"2021","인천","동물병원",3
"2021","인천","관리단체 또는 축산관련 기관",-
"2021","인천","야생동물 구조센터",1
"2021","광주","계",3
"2021","광주","동물병원",2
"2021","광주","관리단체 또는 축산관련 기관",-
"2021","광주","야생동물 구조센터",1
"2021","대전","계",6
"2021","대전","동물병원",5
"2021","대전","관리단체 또는 축산관련 기관",-
"2021","대전","야생동물 구조센터",1
"2021","울산","계",5
"2021","울산","동물병원",4
"2021","울산","관리단체 또는 축산관련 기관",-
"2021","울산","야생동물 구조센터",1
"2021","세종","계",-
"2021","세종","동물병원",-
"2021","세종","관리단체 또는 축산관련 기관",-
"2021","세종","야생동물 구조센터",-
"2021","경기","계",15
"2021","경기","동물병원",13
"2021","경기","관리단체 또는 축산관련 기관",-
"2021","경기","야생동물 구조센터",2
"2021","강원","계",19
"2021","강원","동물병원",11
"2021","강원","관리단체 또는 축산관련 기관",7
"2021","강원","야생동물 구조센터",1
"2021","충북","계",8
"2021","충북","동물병원",5
"2021","충북","관리단체 또는 축산관련 기관",2
"2021","충북","야생동물 구조센터",1
"2021","충남","계",16
"2021","충남","동물병원",13
"2021","충남","관리단체 또는 축산관련 기관",2
"2021","충남","야생동물 구조센터",1
"2021","전북","계",19
"2021","전북","동물병원",15
"2021","전북","관리단체 또는 축산관련 기관",3
"2021","전북","야생동물 구조센터",1
"2021","전남","계",17
"2021","전남","동물병원",15
"2021","전남","관리단체 또는 축산관련 기관",1
"2021","전남","야생동물 구조센터",1
"2021","경북","계",26
"2021","경북","동물병원",24
"2021","경북","관리단체 또는 축산관련 기관",1
"2021","경북","야생동물 구조센터",1
"2021","경남","계",22
"2021","경남","동물병원",19
"2021","경남","관리단체 또는 축산관련 기관",2
"2021","경남","야생동물 구조센터",1
"2021","제주","계",4
"2021","제주","동물병원",3
"2021","제주","관리단체 또는 축산관련 기관",-
"2021","제주","야생동물 구조센터",1
