"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2010","대전","동물병원",6
"2010","대전","관리단체 또는 축산관련 기관",0
"2010","대전","야생동물 구조센터",0
"2010","울산","계",5
"2010","울산","동물병원",5
"2010","울산","관리단체 또는 축산관련 기관",0
"2010","울산","야생동물 구조센터",0
"2010","경기","계",29
"2010","경기","동물병원",28
"2010","경기","관리단체 또는 축산관련 기관",1
"2010","경기","야생동물 구조센터",0
"2010","강원","계",18
"2010","강원","동물병원",12
"2010","강원","관리단체 또는 축산관련 기관",5
"2010","강원","야생동물 구조센터",1
"2010","충북","계",10
"2010","충북","동물병원",7
"2010","충북","관리단체 또는 축산관련 기관",3
"2010","충북","야생동물 구조센터",0
"2010","충남","계",19
"2010","충남","동물병원",17
"2010","충남","관리단체 또는 축산관련 기관",1
"2010","충남","야생동물 구조센터",1
"2010","전북","계",21
"2010","전북","동물병원",21
"2010","전북","관리단체 또는 축산관련 기관",0
"2010","전북","야생동물 구조센터",0
"2010","전남","계",17
"2010","전남","동물병원",16
"2010","전남","관리단체 또는 축산관련 기관",0
"2010","전남","야생동물 구조센터",1
"2010","경북","계",34
"2010","경북","동물병원",32
"2010","경북","관리단체 또는 축산관련 기관",0
"2010","경북","야생동물 구조센터",2
"2010","경남","계",19
"2010","경남","동물병원",18
"2010","경남","관리단체 또는 축산관련 기관",0
"2010","경남","야생동물 구조센터",1
"2010","제주","계",5
"2010","제주","동물병원",5
"2010","제주","관리단체 또는 축산관련 기관",0
"2010","제주","야생동물 구조센터",0
"2011","전국","계",237
"2011","전국","동물병원",219
"2011","전국","관리단체 또는 축산관련 기관",10
"2011","전국","야생동물 구조센터",8
"2011","서울","계",24
"2011","서울","동물병원",23
"2011","서울","관리단체 또는 축산관련 기관",0
"2011","서울","야생동물 구조센터",1
"2011","부산","계",14
"2011","부산","동물병원",14
"2011","부산","관리단체 또는 축산관련 기관",0
"2011","부산","야생동물 구조센터",0
"2011","대구","계",10
"2011","대구","동물병원",10
"2011","대구","관리단체 또는 축산관련 기관",0
"2011","대구","야생동물 구조센터",0
"2011","인천","계",6
"2011","인천","동물병원",6
"2011","인천","관리단체 또는 축산관련 기관",0
"2011","인천","야생동물 구조센터",0
"2011","광주","계",3
"2011","광주","동물병원",3
"2011","광주","관리단체 또는 축산관련 기관",0
"2011","광주","야생동물 구조센터",0
"2011","대전","계",5
"2011","대전","동물병원",5
"2011","대전","관리단체 또는 축산관련 기관",0
"2011","대전","야생동물 구조센터",0
"2011","울산","계",5
"2011","울산","동물병원",5
"2011","울산","관리단체 또는 축산관련 기관",0
"2011","울산","야생동물 구조센터",0
"2011","경기","계",29
"2011","경기","동물병원",28
"2011","경기","관리단체 또는 축산관련 기관",1
"2011","경기","야생동물 구조센터",0
"2011","강원","계",19
"2011","강원","동물병원",13
"2011","강원","관리단체 또는 축산관련 기관",5
"2011","강원","야생동물 구조센터",1
"2011","충북","계",10
"2011","충북","동물병원",7
"2011","충북","관리단체 또는 축산관련 기관",3
