순위,시도명,관광지명,주소,중분류,소분류,검색건수
68,서울특별시,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,226233
69,경기도,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,224386
70,경기도,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,223483
71,경기도,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,218917
72,경기도,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,215547
73,인천광역시,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,214642
74,경기도,서울랜드,경기 과천시 광명로 181-0,문화관광,테마공원,208531
75,서울특별시,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,207656
76,서울특별시,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,206864
77,제주특별자치도,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),204765
78,경상남도,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,204176
79,제주특별자치도,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),204050
80,서울특별시,신라호텔서울,서울 중구 동호로 249-0,숙박,호텔,198740
81,경상북도,호미곶해맞이광장,경북 포항시 남구 해맞이로150번길 20-0,기타관광,기타관광,198166
82,제주특별자치도,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),197638
83,경기도,두물머리,경기 양평군,기타관광,기타관광,195988
84,경기도,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,192945
85,인천광역시,파라다이스시티호텔,인천 중구 영종해안남로321번길 186-0,숙박,호텔,190382
86,서울특별시,그랜드하얏트서울,서울 용산구 소월로 322-0,숙박,호텔,190181
87,경상북도,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,189626
88,강원도,쏠비치양양,강원 양양군 선사유적로 678-0,숙박,콘도미니엄,189543
89,인천광역시,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰,185961
90,인천광역시,남촌농산물도매시장,인천 남동구 비류대로 763-0,쇼핑,시장,185148
91,인천광역시,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,183780
92,경기도,백운호수,경기 의왕시 학현로 0-0,자연관광,자연경관(하천/해양),181698
93,경상북도,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),181591
94,서울특별시,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,181535
95,경기도,대명포구,경기 김포시,자연관광,자연경관(하천/해양),178970
96,서울특별시,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,178868
97,강원도,낙산사,강원 양양군 낙산사로 100-0,역사관광,종교성지,178713
98,경기도,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,176675
99,강원도,주문진수산시장,강원 강릉시 시장2길 6-0,쇼핑,시장,176273
100,경기도,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,174950
