"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"통계분류(1)",통계분류(2),자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타
"연령",60대,69.8,57.4,5.1,9.7,2,55.9,8.6,6.1,5.3,0.3,9.5,0.9,2,0.1,6.8,3.2,3.8,12.2,0.4,0.6,0.2,77.3,51.8,2.9,10.7,4.4,56,5,6.9,3.5,0.1,4,1,4,0.1,3.3,3.2,2.1,15.3,0.9,0.5,2.8,77,53.5,4.9,9,2.4,55.6,2.9,6.1,1.6,0.2,1.8,0.8,3.5,0.3,3.7,3.4,1.6,22.2,0.7,0.4,0.8
"연령",70세 이상,66.4,53.9,2.9,9.3,3.9,53.8,9.5,3.1,5,0.1,7.6,0.8,4.8,0.4,6.2,3,3.1,14.6,0.5,0.4,0.4,72.8,50.5,1.8,9.9,4.9,54.3,5.9,5.1,3,0,5.4,0.8,4.1,0,4.1,3.6,2,20,1,0.1,1.5,71.7,52.7,3.8,7.2,2.5,49.3,6.1,6.5,2.6,0.1,1.3,0.2,3,-,1.6,2.2,1.6,25.2,0.7,0.2,1.3
"직업",임금봉급근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,52.7,5.6,9.9,8.7,57.7,3.4,7.7,4.6,0.3,4.7,1.4,1.9,0.1,5.3,4.3,3.1,12.2,0.8,0.9,2.2,79.7,54.5,6.4,8.5,5.3,59.4,2.1,7.4,3.4,0.1,1.5,1.6,1.9,0.2,6.3,3.8,2.7,14.2,2,1.5,0.6
"직업",고용원있는사업주,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.1,57.2,7.7,10.9,7.3,60.1,4.3,6.6,4,-,5,1.2,1.9,-,6.7,3.9,3.8,15.7,3.1,0.6,3.3,78.7,57.1,13.8,6.1,7,52.4,1.5,4,1,-,1,1.4,2.1,-,5.7,4,2.4,12.5,2.6,0.9,1.3
"직업",고용원없는자영업자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.4,50.8,3.3,8.8,5,55.6,2.7,6.5,3.5,0.1,4.9,1.2,1.9,0.1,4.8,3.3,2.6,15.5,0.6,0.6,2.2,76.5,51.2,6.6,8.2,3,55.8,2,6.6,1.8,0.1,1.9,0.9,2.9,-,4.2,3.1,1.2,18.9,1.1,0.6,0.7
"직업",무급가족 종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,56,3.3,14,6.5,53.6,4.8,9.9,3.9,-,4.3,1.1,2.9,-,2.7,5.4,2.7,15.1,0.1,0.5,1.9,75.1,57.1,4,11.3,5.9,60.1,5,9.4,4,-,0.9,0.2,4.7,-,1.6,5.3,1.7,27.7,-,-,0.4
"직업",사무전문,70.5,56.5,8.6,9.1,8.8,59.3,4.1,6.6,6.7,0.4,8.9,1.3,0.7,0.2,8,4.9,7.6,9.1,0.7,0.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",기술생산노무,69.9,52.9,8.4,10.4,5.6,55.3,5.6,4.2,5.3,0.1,9.2,0.8,1.3,0.1,7.3,3,4.7,11.9,0.4,0.6,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",판매서비스,68.8,59.6,6.7,8.5,7.2,55.9,5,5.1,5.9,0.5,9.3,1.2,1.7,0.2,8,3.6,8.3,12.3,1.6,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",자영업,69.5,58.7,7.8,10.9,4.5,53.3,5.6,5.7,4.8,1,9.7,1.1,2,0.1,6.9,4,5,12.8,0.7,0.5,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
