카테고리: 모든 카테고리

주,속초중앙시장: (대한민국),가락시장: (대한민국),노량진수산시장: (대한민국),동문시장: (대한민국),올레시장: (대한민국)
2021-07-11,4,32,6,11,5
2021-07-18,4,36,9,7,3
2021-07-25,6,33,8,6,6
2021-08-01,4,31,10,9,5
2021-08-08,5,34,13,4,3
2021-08-15,4,27,10,3,3
2021-08-22,4,45,15,8,1
2021-08-29,4,34,12,5,2
2021-09-05,0,47,5,6,1
2021-09-12,1,43,11,2,6
2021-09-19,0,42,11,12,2
2021-09-26,2,33,9,8,3
2021-10-03,6,43,8,7,3
2021-10-10,1,32,8,9,4
2021-10-17,4,33,11,6,2
2021-10-24,4,35,6,7,5
2021-10-31,2,36,16,9,4
2021-11-07,1,41,11,5,5
2021-11-14,4,35,10,9,1
2021-11-21,5,32,23,13,7
2021-11-28,1,46,16,10,3
2021-12-05,0,44,8,12,6
2021-12-12,1,31,8,6,3
2021-12-19,3,47,15,10,4
2021-12-26,7,28,16,11,5
2022-01-02,7,45,14,7,6
2022-01-09,4,30,18,9,8
2022-01-16,3,44,10,10,2
2022-01-23,4,34,13,6,4
2022-01-30,2,23,12,8,7
2022-02-06,2,40,13,6,2
2022-02-13,2,37,8,8,7
2022-02-20,5,31,5,2,9
2022-02-27,4,31,17,9,9
2022-03-06,1,32,11,13,1
2022-03-13,1,30,13,8,6
2022-03-20,0,31,12,4,2
2022-03-27,0,26,14,7,3
2022-04-03,3,35,18,12,5
2022-04-10,4,44,16,7,10
2022-04-17,1,30,11,9,4
2022-04-24,1,34,12,6,7
2022-05-01,4,42,9,4,4
2022-05-08,2,28,16,9,3
2022-05-15,3,26,15,8,5
2022-05-22,4,32,15,4,1
2022-05-29,6,24,9,8,7
2022-06-05,4,24,16,6,3
2022-06-12,5,36,8,4,4
2022-06-19,9,24,4,12,6
2022-06-26,6,28,8,10,2
