"학력",고등학교,8980,11288,8723,8810,9064,9387,9556,10556,12805,10339,10044,11819,8225,12596,9487,10543,10583,8855,10321,11380,12456,11482,9704,12186,11532,5179,4337,5826,6749,6699,7046,6614,6375,6244,5254,4987
"학력",대학교이상,13604,14931,13575,13281,13000,13134,12689,12828,14257,13494,13178,15886,14249,18555,13628,14909,15355,13368,16145,14578,18151,15764,14849,17285,17083,9607,7735,9921,11815,11716,12764,12392,10802,11275,9981,10147
"가구원수",1인,2902,3286,3368,3058,3142,3211,2763,2882,3229,3188,3225,3839,3120,4185,2971,3518,3263,3243,3489,3279,3944,3349,3497,4017,3968,2180,2047,2270,2711,2631,2802,2631,2585,2585,2152,2506
"가구원수",2인,4946,6075,5504,5590,5096,5735,5280,5248,6314,5691,5190,6065,5336,7414,5729,6075,6738,5596,6261,6877,6707,6718,6099,7714,6701,3232,2496,3221,3910,4329,4422,4103,4149,3788,3609,3373
"가구원수",3인이상,16384,18902,15796,15594,16334,15654,16585,17168,19828,17172,16997,19910,15986,22652,16668,18304,18575,15604,19192,18525,22382,19681,17358,20682,20107,10215,8154,11033,13102,12611,13844,13208,11575,12249,10317,10383
"가구소득",100만원 미만,208,307,401,395,590,457,321,352,347,390,508,455,735,1192,814,1165,1101,859,1044,902,930,957,726,955,830,417,240,328,280,361,445,427,338,393,297,395
"가구소득",100~200만원 미만,1717,1491,1511,1778,1496,1205,1445,1354,1878,1376,1348,1775,1620,2739,1762,1935,1848,1689,1777,1670,1762,1831,1615,1927,1508,842,473,711,553,912,739,602,807,805,700,529
"가구소득",200~300만원 미만,2928,3643,3896,3178,3449,3331,3125,3672,3817,3661,3353,3510,3317,4858,3309,4174,3491,3769,3732,3739,4093,4046,3464,4460,4117,2092,1830,1821,2813,2504,2471,2402,2638,2285,1813,2214
"가구소득",300~400만원 미만,4201,5368,4508,4332,4436,4976,4840,5459,5732,5563,4805,5550,4735,7301,5016,6273,6219,5244,5263,5906,6671,5951,5648,6742,6940,3336,2705,3462,4631,4006,4201,4442,4240,4381,3698,3640
"가구소득",400~500만원 미만,4876,6323,4656,5338,4996,4873,5304,5199,5856,5621,5571,7675,5546,7437,5551,5687,6063,5840,6847,6992,7829,6725,6391,6949,7113,3147,2953,3900,4500,4003,4447,4290,3787,3938,3310,3244
"가구소득",500~600만원 미만,5948,5792,5347,4516,4518,4998,4856,5608,6451,5661,5939,6297,4566,6121,4364,4228,5229,3961,5611,5226,6184,6096,4920,6159,5748,3208,2139,3187,3659,3624,4775,3960,3058,3289,3011,2602
"가구소득",600만원 이상,4200,5190,4198,4566,4830,4561,4564,3601,5186,3648,3734,4468,3921,4602,4551,4434,4624,3082,4668,4246,5564,4141,4192,5222,4520,2585,2358,3115,3287,4162,3989,3819,3440,3532,3249,3638
"가구소득",무응답,156,149,149,139,255,200,173,52,105,130,153,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
