기준년월,광역지자체,티맵카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
201901,전국,전체,16985629,13393027
201901,전국,자연관광,1011212,849401
201901,전국,역사관광,566769,456567
201901,전국,체험관광,166597,141256
201901,전국,문화관광,2474223,2067154
201901,전국,레저스포츠,702413,562877
201901,전국,쇼핑,2313151,1808970
201901,전국,음식,6725659,5006576
201901,전국,숙박,2029722,1703090
201901,전국,기타관광,995883,797136
201902,전국,전체,17185429,11671732
201902,전국,자연관광,1049900,727302
201902,전국,역사관광,666473,447439
201902,전국,체험관광,170868,127625
201902,전국,문화관광,2565410,1743468
201902,전국,레저스포츠,749455,568199
201902,전국,쇼핑,2371809,1744901
201902,전국,음식,6591566,4171010
201902,전국,숙박,2012443,1446275
201902,전국,기타관광,1007505,695513
201903,전국,전체,20500547,14710013
201903,전국,자연관광,1303368,1026068
201903,전국,역사관광,800552,579561
201903,전국,체험관광,163427,128432
201903,전국,문화관광,3174878,2343451
201903,전국,레저스포츠,1193402,924547
201903,전국,쇼핑,2669524,2009378
201903,전국,음식,7882077,5293458
201903,전국,숙박,2151919,1565458
201903,전국,기타관광,1161400,839660
201904,전국,전체,20860465,16593903
201904,전국,자연관광,1391971,1249690
201904,전국,역사관광,901229,744706
201904,전국,체험관광,137014,128625
201904,전국,문화관광,3661189,2867034
201904,전국,레저스포츠,1416210,1169838
201904,전국,쇼핑,2388356,1931257
201904,전국,음식,7478438,5683524
201904,전국,숙박,2252950,1829883
201904,전국,기타관광,1233108,989346
201905,전국,전체,24295879,19605831
201905,전국,자연관광,1778667,1598685
201905,전국,역사관광,1075257,935677
201905,전국,체험관광,161760,158939
201905,전국,문화관광,4087366,3359344
201905,전국,레저스포츠,1656025,1363655
201905,전국,쇼핑,2701751,2143219
201905,전국,음식,8750686,6675233
201905,전국,숙박,2677432,2204833
201905,전국,기타관광,1406935,1166246
201906,전국,전체,24146135,17928584
201906,전국,자연관광,1784605,1527296
201906,전국,역사관광,844087,637745
201906,전국,체험관광,163081,136577
201906,전국,문화관광,3929229,2867069
201906,전국,레저스포츠,1648859,1358640
201906,전국,쇼핑,2634819,1976361
201906,전국,음식,8884966,6243646
201906,전국,숙박,2910318,2162856
201906,전국,기타관광,1346171,1018394
201907,전국,전체,24891118,19675949
201907,전국,자연관광,1909544,1855428
201907,전국,역사관광,757190,593037
201907,전국,체험관광,160732,141473
201907,전국,문화관광,3579187,2876984
201907,전국,레저스포츠,1547139,1214730
201907,전국,쇼핑,2690620,2088995
201907,전국,음식,9666279,7300347
201907,전국,숙박,3295222,2651095
201907,전국,기타관광,1285205,953860
201908,전국,전체,33326103,23107209
201908,전국,자연관광,3203149,2432667
201908,전국,역사관광,1089774,735163
201908,전국,체험관광,240568,177130
201908,전국,문화관광,4858053,3606123
201908,전국,레저스포츠,1820847,1207680
201908,전국,쇼핑,3259279,2278182
201908,전국,음식,12385487,8188023
201908,전국,숙박,4734614,3303544
201908,전국,기타관광,1734332,1178697
201909,전국,전체,24060795,19470023
201909,전국,자연관광,1654322,1649123
201909,전국,역사관광,889737,838162
201909,전국,체험관광,169271,167005
201909,전국,문화관광,3565477,3223521
201909,전국,레저스포츠,1519113,1329090
201909,전국,쇼핑,3098313,2385642
201909,전국,음식,9109101,6579782
201909,전국,숙박,2728723,2178014
201909,전국,기타관광,1326738,1119684
201910,전국,전체,29867608,20730371
201910,전국,자연관광,2116392,1662302
201910,전국,역사관광,1281484,980765
201910,전국,체험관광,200706,175136
201910,전국,문화관광,4926738,3623480
201910,전국,레저스포츠,1935145,1447078
201910,전국,쇼핑,3363977,2394884
201910,전국,음식,10709512,6815101
201910,전국,숙박,3534146,2382908
201910,전국,기타관광,1799508,1248717
201911,전국,전체,26527348,17689518
201911,전국,자연관광,1649961,1195539
201911,전국,역사관광,1085832,761210
201911,전국,체험관광,174338,131099
201911,전국,문화관광,3688126,2682073
201911,전국,레저스포츠,1627091,1184427
201911,전국,쇼핑,3340481,2281003
201911,전국,음식,10188785,6300865
201911,전국,숙박,3262648,2147456
201911,전국,기타관광,1510086,1005846
201912,전국,전체,26425936,18725148
201912,전국,자연관광,1250529,977300
201912,전국,역사관광,726426,553581
201912,전국,체험관광,202691,172212
201912,전국,문화관광,3374589,2633947
201912,전국,레저스포츠,1029923,733551
201912,전국,쇼핑,3490953,2641085
201912,전국,음식,11667130,7650106
201912,전국,숙박,3349053,2403582
201912,전국,기타관광,1334642,959784
