카테고리: 모든 카테고리

주,여의도한강공원: (대한민국),일산호수공원: (대한민국),서울숲: (대한민국),광교호수공원: (대한민국),송도센트럴파크: (대한민국)
2021-07-11,2,1,35,5,7
2021-07-18,1,5,23,5,6
2021-07-25,4,1,30,5,7
2021-08-01,5,1,28,7,9
2021-08-08,2,9,14,6,15
2021-08-15,0,7,50,7,2
2021-08-22,1,7,39,11,12
2021-08-29,7,6,39,5,1
2021-09-05,8,3,45,0,8
2021-09-12,1,1,42,1,14
2021-09-19,3,6,40,10,10
2021-09-26,5,8,47,5,6
2021-10-03,5,4,50,3,8
2021-10-10,3,3,32,6,7
2021-10-17,3,1,32,6,12
2021-10-24,3,8,55,7,9
2021-10-31,3,4,65,12,9
2021-11-07,0,4,48,6,10
2021-11-14,1,4,38,4,6
2021-11-21,1,5,33,4,8
2021-11-28,0,0,34,5,9
2021-12-05,1,3,16,3,14
2021-12-12,3,1,36,1,6
2021-12-19,0,5,39,8,5
2021-12-26,0,5,22,4,7
2022-01-02,1,3,26,0,5
2022-01-09,0,1,25,8,14
2022-01-16,0,0,38,4,9
2022-01-23,3,1,31,4,5
2022-01-30,0,0,18,0,13
2022-02-06,3,1,41,5,3
2022-02-13,3,4,22,5,9
2022-02-20,3,4,27,6,8
2022-02-27,4,0,22,3,5
2022-03-06,1,5,33,1,12
2022-03-13,1,1,39,11,11
2022-03-20,3,0,31,9,13
2022-03-27,1,4,67,7,11
2022-04-03,13,8,100,13,11
2022-04-10,11,8,75,11,15
2022-04-17,4,8,59,15,9
2022-04-24,9,10,55,3,11
2022-05-01,5,9,76,10,18
2022-05-08,6,7,53,7,5
2022-05-15,5,6,66,11,12
2022-05-22,5,8,62,9,9
2022-05-29,4,8,54,9,6
2022-06-05,6,5,45,11,14
2022-06-12,5,10,38,5,11
2022-06-19,8,6,53,4,6
2022-06-26,0,6,43,4,7
