카테고리: 모든 카테고리

주,월미도: (대한민국),을왕리 해수욕장: (대한민국),대천해수욕장: (대한민국),속초해변: (대한민국),궁평항: (대한민국)
2021-07-11,18,4,14,4,7
2021-07-18,28,4,27,3,16
2021-07-25,21,7,20,0,5
2021-08-01,18,6,33,0,9
2021-08-08,22,5,22,3,10
2021-08-15,15,7,17,0,10
2021-08-22,18,3,7,1,10
2021-08-29,17,1,6,1,5
2021-09-05,19,3,10,1,8
2021-09-12,20,3,4,3,14
2021-09-19,30,6,10,1,19
2021-09-26,20,1,8,1,12
2021-10-03,25,3,9,3,15
2021-10-10,36,0,1,1,15
2021-10-17,21,3,9,0,7
2021-10-24,33,4,5,1,14
2021-10-31,15,1,11,0,13
2021-11-07,17,1,11,1,7
2021-11-14,20,4,5,0,5
2021-11-21,26,1,3,0,4
2021-11-28,20,1,3,1,7
2021-12-05,23,1,7,3,3
2021-12-12,13,3,8,0,8
2021-12-19,19,8,4,0,9
2021-12-26,21,3,3,1,3
2022-01-02,10,1,7,3,3
2022-01-09,9,0,1,3,9
2022-01-16,16,1,5,0,13
2022-01-23,18,1,5,0,7
2022-01-30,22,1,6,0,7
2022-02-06,23,4,7,1,9
2022-02-13,25,1,7,1,5
2022-02-20,24,1,1,1,10
2022-02-27,37,3,7,1,7
2022-03-06,20,3,5,0,12
2022-03-13,30,1,4,1,9
2022-03-20,21,0,6,1,1
2022-03-27,20,4,1,0,4
2022-04-03,32,1,6,1,10
2022-04-10,30,4,4,0,6
2022-04-17,14,0,13,0,8
2022-04-24,36,4,5,3,9
2022-05-01,42,5,5,4,16
2022-05-08,38,4,8,1,11
2022-05-15,27,4,11,4,22
2022-05-22,27,4,9,0,9
2022-05-29,40,3,21,4,13
2022-06-05,37,1,10,0,5
2022-06-12,31,11,10,2,9
2022-06-19,31,4,13,4,10
2022-06-26,19,5,14,0,5
